,round,group,player_slot,cost,break_even_bid_no_rym,percentile_no_rym,correction_factor,break_even_bid_rym,percentile_rym,max_bid_no_rym,max_bid_rym,ws,other_costs,cost_A,cost_B,production,id_sample
24,2,3,1,48.4334845,48.4334845,56.51397977394408,1.1396114,42.5,12.819750148720999,90.3,70,5.8,0.85,56.98057,-8.547085500000001,2131.626659462528,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
25,2,3,2,34.0841134,34.0841134,4.283164782867341,0.7926538000000001,42.99999999999999,14.247471743010113,90.3,70,8.6,0.86,39.632690000000004,-5.548576600000004,3852.355352958242,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
26,2,3,3,48.6118318,48.6118318,57.34681737061273,0.9920782,48.99999999999999,43.426531826293875,90.3,70,6.5,0.98,49.60391,-0.9920782000000017,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
27,2,3,4,44.457455,44.457455,39.97620464009518,0.907295,49.00000000000001,44.97323022010708,90.3,70,7.1,0.98,45.36475,-0.9072949999999977,3019.760489755876,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
28,2,4,1,51.82611465,51.82611465,66.8054729327781,1.1145401,46.50000000000001,32.45092207019631,90.3,70,5.9,0.93,55.727005,-3.9008903499999974,2203.80697148829,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
29,2,4,2,42.6593626,42.6593626,32.42117787031529,0.9920782,43.0,15.080309339678763,90.3,70,6.5,0.86,49.60391,-6.944547399999998,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
30,2,4,3,41.26698289934013,41.26698289934013,27.007733491969066,0.79,52.23668721435459,59.785841760856634,90.3,70,9.0,1.06,38.9311159427737,2.335866956566427,4034.143044805663,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
31,2,4,4,43.280116,43.280116,35.03866745984533,0.857032,50.5,51.279000594883996,90.3,70,7.6,1.01,42.8516,0.4285160000000019,3322.95250850423,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
32,3,1,1,56.59712834999999,56.59712834999999,77.57287328970851,1.1669511,48.49999999999999,40.80904223676383,90.3,70,5.7,0.97,58.34755499999999,-1.7504266500000014,2059.071224897595,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
33,3,1,2,47.36795425,47.36795425,52.706722189173114,1.1145401,42.5,12.819750148720999,90.3,70,5.9,0.85,55.727005,-8.359050750000002,2203.80697148829,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
34,3,1,3,73.30277381723356,73.30277381723356,96.37120761451517,1.29,56.82385567227407,81.6775728732897,90.3,70,5.0,1.03,71.16774157012966,2.1350322471038936,1548.0076471579075,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
35,3,1,4,56.027297100000006,56.027297100000006,76.44259369422963,1.0280238,54.50000000000001,71.23735871505056,90.3,70,6.3,1.09,51.40119,4.626107100000006,2487.4220738687186,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
36,3,2,1,50.23308079999999,50.23308079999999,62.40333135038667,0.8660876,57.99999999999999,87.32897085068412,90.3,70,7.5,1.16,43.304379999999995,6.928700799999994,3264.2913304677227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
37,3,2,2,56.93419325610373,56.93419325610373,78.10826888756692,1.29,44.13503353186336,20.880428316478287,90.3,70,5.0,0.8,71.16774157012966,-14.233548314025931,1548.0076471579075,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
38,3,2,3,33.13884639653275,33.13884639653275,2.4390243902439024,0.79,41.94790683105411,9.339678762641284,90.3,70,8.7,0.84,39.45100761491994,-6.312161218387189,3899.430925071707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
39,3,2,4,39.45100761491994,39.45100761491994,20.107079119571683,0.79,49.93798432268346,47.828673408685304,90.3,70,8.7,1.0,39.45100761491994,0.0,3899.430925071707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
40,3,3,1,62.816351999999995,62.816351999999995,87.50743604997025,1.0469392,60.0,97.5609756097561,90.3,70,6.2,1.2,52.346959999999996,10.469392,2417.4057379964315,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
41,3,3,2,72.24126791242364,72.24126791242364,95.83581201665675,1.29,56.00098287784778,79.00059488399762,90.3,70,5.2,1.07,67.51520365647069,4.726064255952949,1693.6122771870748,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
42,3,3,3,35.505906853427945,35.505906853427945,7.674003569303986,0.79,44.94418589041512,23.557406305770375,90.3,70,8.7,0.9,39.45100761491994,-3.945100761491993,3899.430925071707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
43,3,3,4,35.34616205057016,35.34616205057016,7.1980963712076145,0.79,44.74197727920273,23.378941106484234,90.3,70,8.8,0.9,39.2735133895224,-3.927351338952242,3945.422474128707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
44,3,4,1,67.65093195989162,67.65093195989162,92.50446162998216,1.29,52.44258291464467,60.02379535990482,90.3,70,5.3,1.03,65.6805164659142,1.970415493977427,1766.7501763451485,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
45,3,4,2,40.408625400000005,40.408625400000005,23.735871505056515,0.8001708000000001,50.5,51.279000594883996,90.3,70,8.4,1.01,40.00854,0.4000854000000018,3754.965449409183,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
46,3,4,3,67.23707259999999,67.23707259999999,92.14753123140987,1.1396114,58.99999999999999,91.99881023200476,90.3,70,5.8,1.18,56.98057,10.25650259999999,2131.626659462528,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
47,3,4,4,46.10375275,46.10375275,46.93634741225461,0.8952185,51.49999999999999,55.353955978584175,90.3,70,7.2,1.03,44.760925,1.3428277499999979,3082.3461630779525,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
48,4,1,1,48.1157927,48.1157927,55.56216537775134,0.9920782,48.5,41.760856632956575,90.3,70,6.5,0.97,49.60391,-1.488117299999999,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
49,4,1,2,69.62134745386905,69.62134745386905,94.11064842355741,1.29,53.970036785945,67.34086853063653,90.3,70,5.3,1.06,65.6805164659142,3.940830987954854,1766.7501763451485,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
50,4,1,3,46.5876801,46.5876801,49.13741820345033,0.7963706,58.5,90.63057703747769,90.3,70,8.5,1.17,39.81853,6.769150099999997,3804.1989632496698,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
51,4,1,4,60.05290374999999,60.05290374999999,83.52171326591315,1.0092925,59.49999999999999,94.46757882212968,90.3,70,6.4,1.19,50.464625,9.588278749999994,2556.7585973306004,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
52,4,2,1,40.240027767218336,40.240027767218336,22.78405710886377,0.79,50.93674400913713,52.706722189173114,90.3,70,8.7,1.02,39.45100761491994,0.7890201522983986,3899.430925071707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
53,4,2,2,36.140287199999996,36.140287199999996,9.399167162403332,0.8308112,43.5,17.48958953004164,90.3,70,7.9,0.87,41.54056,-5.400272800000003,3492.8080850201604,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
54,4,2,3,36.852376,36.852376,11.540749553837001,0.857032,43.0,15.080309339678763,90.3,70,7.6,0.86,42.8516,-5.999223999999998,3322.95250850423,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
55,4,2,4,41.0074728,41.0074728,25.758477096966093,0.9763684,42.0,10.618679357525282,90.3,70,6.6,0.84,48.81842,-7.810947200000001,2693.2139720893097,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
56,4,3,1,47.1237145,47.1237145,51.516954193932186,0.9920782,47.5,37.03152885187389,90.3,70,6.5,0.95,49.60391,-2.4801955000000007,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
57,4,3,2,54.687314961741265,54.687314961741265,73.5871505056514,1.29,42.39326741220253,11.600237953599049,90.3,70,5.2,0.81,67.51520365647069,-12.827888694729424,1693.6122771870748,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
58,4,3,3,45.1395581,45.1395581,42.71267102914931,0.9920782,45.5,26.76977989292088,90.3,70,6.5,0.91,49.60391,-4.464351899999997,2625.3696471309936,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
59,4,3,4,43.59359986236987,43.59359986236987,36.109458655562165,0.79,55.181771977683375,74.30101130279596,90.3,70,8.8,1.11,39.2735133895224,4.320086472847471,3945.422474128707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
60,4,4,1,42.9060682,42.9060682,33.55145746579417,0.8846612,48.5,41.760856632956575,90.3,70,7.3,0.97,44.23306,-1.3269918000000018,3143.974070805334,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
61,4,4,2,58.513355250000004,58.513355250000004,81.0232004759072,1.1145401,52.50000000000001,61.71921475312314,90.3,70,5.9,1.05,55.727005,2.7863502500000052,2203.80697148829,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
62,4,4,3,66.51621269999998,66.51621269999998,91.49315883402737,1.1669511,56.99999999999999,82.51041046995836,90.3,70,5.7,1.14,58.34755499999999,8.16865769999999,2059.071224897595,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
63,4,4,4,45.857458099999995,45.857458099999995,46.04402141582391,0.9455146,48.49999999999999,40.80904223676383,90.3,70,6.8,0.97,47.275729999999996,-1.4182719000000006,2826.4576240077954,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
64,5,1,1,45.201418,45.201418,43.069601427721594,0.9319879999999999,48.5,41.760856632956575,90.3,70,6.9,0.97,46.599399999999996,-1.397981999999999,2891.793697192464,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
65,5,1,2,47.561807699999996,47.561807699999996,53.36109458655562,0.9608445999999999,49.5,46.6686496133254,90.3,70,6.7,0.99,48.042229999999996,-0.48042230000000075,2760.2544196832227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
66,5,1,3,39.463532,39.463532,20.226055919095778,0.8308112,47.5,37.03152885187389,90.3,70,7.9,0.95,41.54056,-2.0770279999999985,3492.8080850201604,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
67,5,1,4,42.43491637762334,42.43491637762334,31.647828673408686,0.79,53.71508402230802,67.0434265318263,90.3,70,9.0,1.09,38.9311159427737,3.503800434849637,4034.143044805663,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
68,5,2,1,59.6253804,59.6253804,82.92682926829268,1.0280238,58.0,88.28078524687686,90.3,70,6.3,1.16,51.40119,8.224190399999998,2487.4220738687186,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
69,5,2,2,32.895648,32.895648,2.022605591909578,0.8223912,40.0,1.041046995835812,90.3,70,8.0,0.8,41.11956,-8.223911999999999,3547.3526180837684,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
70,5,2,3,35.8218608,35.8218608,8.566329565734682,0.8141332,44.00000000000001,20.46400951814396,90.3,70,8.1,0.88,40.70666,-4.884799199999996,3600.84695020913,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
71,5,2,4,45.30602,45.30602,43.545508625817966,1.066024,42.49999999999999,11.927424152290303,90.3,70,6.1,0.85,53.3012,-7.995180000000005,2346.759967225184,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
72,5,3,1,48.694001899999996,48.694001899999996,57.584770969660916,0.9455146,51.5,56.12730517549078,90.3,70,6.8,1.03,47.275729999999996,1.4182719000000006,2826.4576240077954,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
73,5,3,2,52.846453000000004,52.846453000000004,69.24449732302202,0.9608445999999999,55.00000000000001,73.4681737061273,90.3,70,6.7,1.1,48.042229999999996,4.8042230000000075,2760.2544196832227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
74,5,3,3,45.2194541,45.2194541,43.24806662700773,1.0896254,41.5,8.209399167162402,90.3,70,6.0,0.83,54.48127,-9.261815900000002,2275.5401511823243,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
75,5,3,4,62.29288239999999,62.29288239999999,86.73408685306366,1.0469392,59.49999999999999,94.46757882212968,90.3,70,6.2,1.19,52.346959999999996,9.945922399999994,2417.4057379964315,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
76,5,4,1,34.976340300000004,34.976340300000004,6.305770374776919,0.8040538,43.5,17.48958953004164,90.3,70,8.3,0.87,40.202690000000004,-5.2263497,3704.6590150147713,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
77,5,4,2,44.77180526405553,44.77180526405553,41.22546103509816,0.79,56.673171220323454,81.61808447352766,90.3,70,8.8,1.14,39.2735133895224,5.49829187453313,3945.422474128707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
78,5,4,3,47.565276000000004,47.565276000000004,53.42058298631767,0.857032,55.50000000000001,75.93694229625223,90.3,70,7.6,1.11,42.8516,4.713676000000007,3322.95250850423,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
79,5,4,4,41.42355799566594,41.42355799566594,27.42415229030339,0.79,52.434883538817644,59.96430696014277,90.3,70,8.7,1.05,39.45100761491994,1.972550380746,3899.430925071707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
80,6,1,1,47.698689599999994,47.698689599999994,53.89649018441404,0.8223912,57.99999999999999,87.32897085068412,90.3,70,8.0,1.16,41.11956,6.579129599999995,3547.3526180837684,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
81,6,1,2,61.85697555,61.85697555,86.25817965496728,1.1145401,55.50000000000001,75.93694229625223,90.3,70,5.9,1.11,55.727005,6.129970550000003,2203.80697148829,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
82,6,1,3,54.05519485,54.05519485,72.21891731112433,1.1145401,48.5,41.760856632956575,90.3,70,5.9,0.97,55.727005,-1.6718101499999989,2203.80697148829,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
83,6,1,4,36.469710400000004,36.469710400000004,10.41046995835812,0.8481328,43.0,15.080309339678763,90.3,70,7.7,0.86,42.40664,-5.936929599999999,3380.599171369953,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
84,6,2,1,48.086635,48.086635,55.44318857822724,0.907295,53.0,63.08744794765021,90.3,70,7.1,1.06,45.36475,2.7218850000000003,3019.760489755876,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
85,6,2,2,45.20853425,45.20853425,43.12908982748364,0.8952185,50.5,51.279000594883996,90.3,70,7.2,1.01,44.760925,0.4476092499999993,3082.3461630779525,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
86,6,2,3,52.003303,52.003303,67.34086853063653,0.9455146,55.00000000000001,73.4681737061273,90.3,70,6.8,1.1,47.275729999999996,4.727573000000007,2826.4576240077954,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
87,6,2,4,44.18324097560312,44.18324097560312,38.667459845330164,0.79,55.92815313367483,76.918500892326,90.3,70,8.9,1.13,39.10021325274613,5.08302772285699,3990.3272687735966,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
88,6,3,1,39.236363100000005,39.236363100000005,19.333729922665082,0.7926538000000001,49.5,46.6686496133254,90.3,70,8.6,0.99,39.632690000000004,-0.39632689999999826,3852.355352958242,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
89,6,3,2,40.42534380000001,40.42534380000001,23.79535990481856,0.7926538000000001,51.00000000000001,54.52111838191553,90.3,70,8.6,1.02,39.632690000000004,0.7926538000000036,3852.355352958242,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
90,6,3,3,40.00854,40.00854,22.189173111243306,0.8001708000000001,50.0,48.98869720404521,90.3,70,8.4,1.0,40.00854,0.0,3754.965449409183,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
91,6,3,4,38.6327208,38.6327208,17.37061273051755,0.8308112,46.5,31.52885187388459,90.3,70,7.9,0.93,41.54056,-2.907839199999998,3492.8080850201604,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
92,6,4,1,43.2021824,43.2021824,34.562760261748956,0.8308112,52.0,58.44735276621059,90.3,70,7.9,1.04,41.54056,1.6616223999999988,3492.8080850201604,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
93,6,4,2,42.40905240000001,42.40905240000001,31.4098750743605,0.8001708000000001,53.00000000000001,64.03926234384295,90.3,70,8.4,1.06,40.00854,2.4005124000000038,3754.965449409183,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
94,6,4,3,46.405592399999996,46.405592399999996,48.42355740630577,0.8141332,56.99999999999999,82.51041046995836,90.3,70,8.1,1.14,40.70666,5.698932399999997,3600.84695020913,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
95,6,4,4,58.6285952,58.6285952,81.32064247471743,1.0469392,56.0,77.33491969066033,90.3,70,6.2,1.12,52.346959999999996,6.281635200000004,2417.4057379964315,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
96,7,1,1,57.65067599999999,57.65067599999999,79.65496728138014,0.9608445999999999,59.99999999999999,96.60916121356335,90.3,70,6.7,1.2,48.042229999999996,9.608445999999994,2760.2544196832227,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
97,7,1,2,39.542920200000005,39.542920200000005,20.582986317668055,0.9763684,40.50000000000001,4.104699583581201,90.3,70,6.6,0.81,48.81842,-9.275499799999999,2693.2139720893097,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
98,7,1,3,46.34274579963643,46.34274579963643,48.12611540749554,0.79,58.661703543843586,91.37418203450328,90.3,70,8.8,1.18,39.2735133895224,7.069232410114033,3945.422474128707,sample_3_seed:161803_ws_min_5_ws_max_9_base_lcoe_50_oc_min_0.8_oc_max_1.2
